pairs,Ks
ONI23381-ONI28332,5.9981
ONI23381-ONH95022,4.4845
ONI23381-ONI26822,4.4988
ONI23381-ONI02697,4.4548
ONI23381-ONI10925,1.6238
ONI23381-ONH96035,4.4533
ONI23381-ONI18700,4.4486
ONI23381-ONI29058,4.3906
ONI23381-ONI06014,4.4315
ONI23381-ONI00160,4.3154
ONI23381-ONH99244,3.373
ONI23381-ONI11309,4.4193
ONI23381-ONI32305,2.2194
ONI23381-ONI09643,4.4867
ONI23381-ONH95363,4.509
ONI23381-ONI17055,4.3669
ONI23381-ONI17510,2.4355
ONI23381-ONI11044,2.9313
ONI23381-ONH95429,2.9016
ONI23381-ONI30926,3.5428
ONI23381-ONI26865,4.3725
ONI23381-ONI20050,4.5092
ONI23381-ONI04921,2.2612
ONI23381-ONH94307,2.6981
ONI23381-ONI12073,3.1906
ONI23381-ONH92574,4.5059
ONI23381-ONI01448,2.5522
ONI23381-ONI25472,2.9148
ONI23381-ONI20524,4.4796
ONI23381-ONH98763,4.4918
ONI23381-ONH89632,2.8683
ONI23381-ONI35771,4.4816
ONI23381-ONI16883,4.4364
ONI23381-ONI03115,4.3804
ONI23381-ONI01193,4.4874
ONI23381-ONH98211,4.4639
ONI23381-ONH96339,4.4981
ONI23381-ONH97837,4.4672
ONI23381-ONH96891,2.5522
ONI23381-ONI19701,4.3925
ONI23381-ONI19129,2.0712
ONI23381-ONI11923,1.6984
ONI23381-ONH92343,4.5125
ONI23381-ONI14197,4.4378
ONI23381-ONI08253,4.4658
ONI23381-ONH89725,4.3756
ONI23381-ONI22031,4.4773
ONI23381-ONH92510,4.4992
ONI23381-ONI17874,4.3398
ONI23381-ONH96390,4.3891
ONI23381-ONI08659,4.3998
ONI23381-ONI07181,3.8369
ONI23381-ONI34876,2.4294
ONI23381-ONI11936,4.4712
ONI23381-ONI08378,4.4256
ONI23381-ONI30925,4.456
ONI23381-ONI04516,2.1969
ONI23381-ONI17179,4.3977
ONI23381-ONI23179,2.3356
ONI23381-ONI26052,4.4312
ONI23381-ONH96625,2.6301
ONI23381-ONI08665,4.4629
ONI23381-ONH93475,2.5306
ONI23381-ONH96897,4.4074
ONI23381-ONI19087,3.0831
ONI23381-ONI32985,3.543
ONI23381-ONH94185,3.059
ONI23381-ONI02303,2.914
ONI23381-ONH91625,4.457
ONI23381-ONI09527,4.398
ONI23381-ONI25428,4.5321
ONI23381-ONI09497,4.5026
ONI23381-ONI29838,4.4439
ONI23381-ONI20969,2.7636
ONI23381-ONI21063,2.5072
ONI23381-ONI33045,4.414
ONI23381-ONI35496,4.5022
ONI23381-ONI26704,1.9879
ONI23381-ONI05188,4.4471
ONI23381-ONI08999,4.4821
ONI23381-ONH94181,4.4791
ONI23381-ONI02240,4.4896
ONI23381-ONI19233,2.4468
ONI23381-ONI00156,4.3162
ONI23381-ONI33936,4.5057
ONI23381-ONI02010,4.4722
ONI23381-ONI18543,4.5144
ONI23381-ONH89832,4.1562
ONI23381-ONI27715,4.4738
ONI23381-ONI16070,4.4572
ONI23381-ONI19226,4.4736
